leagues,outcomes,edge_min,sel_n,sel_roi,hld_n,hld_roi,hld_win,hld_per_season
E0+I1+T1,draw,0.08,1061,-0.03860273917979752,634,0.1273590508987684,0.30126182965299686,90.57142857142857
E0+I1+T1,draw,0.05,1061,-0.03860273917979752,634,0.1273590508987684,0.30126182965299686,90.57142857142857
F1+G1+SP1+T1,draw,0.12,410,-0.06219799820629612,307,0.12732333300064594,0.31921824104234525,43.857142857142854
E0+E1+P1+T1,all,0.2,608,0.0563172498226868,332,0.1271923233871626,0.6024096385542169,47.42857142857143
G1+P1+SC0+T1,away,0.15,439,-0.0430025347647738,322,0.1270500114787137,0.5900621118012422,46.0
D1+E0+F1+I1,draw,0.1,940,-0.08547814924376523,420,0.12697879252143654,0.27380952380952384,60.0
D1+E1+F1+T1,draw,0.1,869,-0.013221839494062373,429,0.12693741753078058,0.2773892773892774,61.285714285714285
E0+E1+I1+T1,home,0.15,863,-0.0014866730805232424,297,0.12670600496537093,0.6936026936026936,42.42857142857143
P1,away,0.05,409,0.028584396399251293,329,0.12668994546993528,0.5349544072948328,47.0
P1,away,0.08,409,0.028584396399251293,329,0.12668994546993528,0.5349544072948328,47.0
E0+P1+SC0,home,0.15,651,0.051190198701952946,284,0.1266654529835257,0.6866197183098591,40.57142857142857
F1+G1+I1,draw,0.08,964,-0.04042544460247729,609,0.12656960396475697,0.2988505747126437,87.0
F1+G1+I1,draw,0.05,964,-0.04042544460247729,609,0.12656960396475697,0.2988505747126437,87.0
E0+E1+G1+N1,home,0.15,757,0.08215774663361357,283,0.1264245120328085,0.7102473498233216,40.42857142857143
E0+G1+P1+T1,home,0.15,950,0.06936418510651067,424,0.12632107648255592,0.7311320754716981,60.57142857142857
G1+I1+P1,draw+away,0.12,845,-0.029279042045654905,721,0.12623624947482326,0.49375866851595007,103.0
E0+E1+F1+T1,home,0.15,761,0.037443285914929104,304,0.12606170508860287,0.6513157894736842,43.42857142857143
G1+I1+SC0+T1,draw,0.1,676,-0.0553015231599727,562,0.1260193262408932,0.31316725978647686,80.28571428571429
E0+E1+SC0,home+draw,0.15,723,0.010280486827320976,325,0.12601149669299597,0.5323076923076923,46.42857142857143
I1+SC0+T1,draw,0.05,817,-0.10503881478648024,712,0.1259853338388003,0.300561797752809,101.71428571428571
I1+SC0+T1,draw,0.08,817,-0.10503881478648024,712,0.1259853338388003,0.300561797752809,101.71428571428571
G1+I1+T1,draw+away,0.12,852,-0.06734567643032682,708,0.12596887895357506,0.4759887005649718,101.14285714285714
E1+SC0+T1,home,0.15,456,-0.013600507216691232,298,0.12587601703418957,0.6644295302013423,42.57142857142857
G1+N1+P1+SC0,all,0.18,717,0.030445434151941418,399,0.12576506027077822,0.6265664160401002,57.0
D1+I1+N1+T1,draw,0.12,465,-0.10519032719761248,323,0.1255902984449982,0.28792569659442724,46.142857142857146
E1+G1+I1+T1,draw,0.05,1200,0.011973479753112928,867,0.12557244938868176,0.3091118800461361,123.85714285714286
E1+G1+I1+T1,draw,0.08,1200,0.011973479753112928,867,0.12557244938868176,0.3091118800461361,123.85714285714286
F1+G1+T1,draw,0.05,928,0.01699511673982392,591,0.12548991225019993,0.29780033840947545,84.42857142857143
F1+G1+T1,draw,0.08,928,0.01699511673982392,591,0.12548991225019993,0.29780033840947545,84.42857142857143
G1+I1+N1+P1,away,0.12,701,-0.05494934468751472,530,0.12544429003287066,0.5679245283018868,75.71428571428571
E0+E1+G1+P1,home,0.15,811,0.0870776274633046,388,0.12541361305377466,0.7396907216494846,55.42857142857143
E0+G1+SC0+T1,home+draw,0.15,1052,0.018662102825017644,497,0.1253118373072633,0.5875251509054326,71.0
B1+G1+P1+T1,away,0.12,663,-0.06998785838578722,589,0.1252445472274574,0.5280135823429541,84.14285714285714
D1+I1,draw,0.1,401,-0.1578554161576908,304,0.12511152665356332,0.28289473684210525,43.42857142857143
F1+G1+SC0+T1,draw,0.12,402,-0.0060755642847490215,291,0.12502702719301634,0.30927835051546393,41.57142857142857
G1+N1+P1+T1,draw+away,0.15,615,-0.07408321332460731,450,0.12493694178982513,0.4911111111111111,64.28571428571429
D1+G1+P1+T1,draw+away,0.15,670,-0.08799467290348868,498,0.12485212258611456,0.4718875502008032,71.14285714285714
F1+G1+SC0+T1,draw,0.1,735,-0.025751277065240944,452,0.12458279483037973,0.3030973451327434,64.57142857142857
D1+G1+P1+T1,away,0.15,440,-0.08317560708599855,319,0.12454254495799191,0.554858934169279,45.57142857142857
D1+E1+I1+SP1,draw,0.12,498,-0.11691397317393341,328,0.12433735719364356,0.29573170731707316,46.857142857142854
F1+G1+P1,away,0.12,523,0.028334379485955432,442,0.1241195088234565,0.5633484162895928,63.142857142857146
E1+I1+SC0+T1,draw,0.1,772,-0.019846841880592353,516,0.1240278642857636,0.3023255813953488,73.71428571428571
G1+T1,all,0.15,720,-0.0029784486356205665,486,0.12392597218254853,0.6069958847736625,69.42857142857143
G1+I1+T1,draw+away,0.15,498,-0.09957332135537615,365,0.12365252906583168,0.5150684931506849,52.142857142857146
D1+G1+I1,draw+away,0.12,874,-0.07831649135230163,654,0.12350245295812369,0.44495412844036697,93.42857142857143
E0+E1+I1+T1,draw,0.05,1448,0.0013055343383122804,767,0.12333982037351272,0.2985658409387223,109.57142857142857
E0+E1+I1+T1,draw,0.08,1448,0.0013055343383122804,767,0.12333982037351272,0.2985658409387223,109.57142857142857
E1+P1+T1,home,0.15,544,0.057114890029320395,366,0.12324984819353854,0.7158469945355191,52.285714285714285
E0+F1+I1,draw,0.08,1212,-0.04375644309664734,509,0.12315646391441315,0.28094302554027506,72.71428571428571
E0+F1+I1,draw,0.05,1212,-0.04375644309664734,509,0.12315646391441315,0.28094302554027506,72.71428571428571
