leagues,outcomes,edge_min,sel_bets,sel_roi,hld_bets,hld_roi
G1,home+draw,0.25,20,-0.2671569060754375,10,-0.44441241856383595
G1,draw+away,0.08,469,-0.19023190241862056,480,0.06161480151621389
G1,draw+away,0.1,353,-0.22235375464945556,361,0.07374217490397299
G1,draw+away,0.12,265,-0.25982886778489106,248,0.08619620521383362
G1,draw+away,0.15,145,-0.284278534786579,129,0.07059583278558355
G1,draw+away,0.18,84,-0.39454965703917655,60,0.08582191511135194
G1,draw+away,0.2,60,-0.3443375509937084,34,0.10480479915096298
G1,draw+away,0.25,25,-0.5402743754580852,9,-0.6527087784646668
I1,all,0.08,1908,-0.01753266177620584,861,0.06952732000638295
I1,all,0.1,1320,-0.019537082985189164,536,0.09812236161775395
I1,all,0.12,933,-0.02851103634082489,319,0.10711642082585048
I1,all,0.15,522,-0.08035200857296418,160,0.07653344531465953
I1,all,0.18,283,-0.04606112084351172,82,0.15088820827564428
I1,all,0.2,183,0.010326255399416267,56,0.18064866962895682
I1,all,0.25,72,0.04942555380753104,15,0.11055546916831573
I1,home,0.08,983,-0.018027688079781633,208,0.026751784007834664
I1,home,0.1,707,-0.02529771417288253,116,0.0392213254215226
I1,home,0.12,488,-0.035267116472041636,74,0.07699216325139048
I1,home,0.15,275,-0.09190106971371242,41,0.06854645103285033
I1,home,0.18,137,-0.06917249117213743,26,0.11004460651579462
I1,home,0.2,90,-0.05850516539519761,15,0.23604651891501702
I1,home,0.25,28,-0.01205727041718638,1,0.3407689144736843
I1,draw,0.08,356,-0.10826380698361884,320,0.11869588206868564
I1,draw,0.1,201,-0.1099113296073674,186,0.17881391173846675
I1,draw,0.12,144,-0.1635539862918015,87,0.12132302535164194
I1,draw,0.15,81,-0.29861069620582015,38,0.1836103824275974
I1,draw,0.18,52,-0.1464897193333739,23,0.4542205084037789
I1,draw,0.2,33,0.11770377873654995,19,0.23126254958930045
I1,away,0.08,569,0.021046736304920387,333,0.07780805014150625
I1,away,0.1,412,0.02282888614568735,234,0.10685879851540347
I1,away,0.12,301,0.029279335046926615,158,0.12768708992320427
I1,away,0.15,166,0.015523896925056763,81,0.046692379732127906
I1,away,0.18,94,0.03418727514545068,33,0.05281401166705499
I1,away,0.2,60,0.09862874377075542,22,0.07714850547387779
I1,away,0.25,25,0.19383972810648498,4,0.19431331290683282
I1,home+draw,0.08,1339,-0.03309872045696153,528,0.06360579665054865
I1,home+draw,0.1,908,-0.03756557460502384,302,0.0912155594715001
I1,home+draw,0.12,632,-0.0541041356790738,161,0.09024436767990887
I1,home+draw,0.15,356,-0.12192423603450228,79,0.09765049348021045
I1,home+draw,0.18,189,-0.0824049872027107,49,0.19945035382326584
I1,home+draw,0.2,123,-0.028765266810589107,34,0.23440110109991913
I1,home+draw,0.25,47,-0.027204898143507374,11,0.06814226237439573
I1,draw+away,0.08,925,-0.016809876573845917,653,0.0924945754478453
I1,draw+away,0.1,613,-0.010904010068516556,420,0.12990279278498645
I1,draw+away,0.12,445,-0.018736424762277555,245,0.12598715284594542
I1,draw+away,0.15,247,-0.06329806136072472,119,0.08274503231666223
I1,draw+away,0.18,146,-0.0153643128811127,56,0.1909369086596429
I1,draw+away,0.2,93,0.10389372882527276,41,0.13854917629863864
I1,draw+away,0.25,44,0.10798328860333084,14,0.0797724655488443
N1,all,0.08,1347,0.0009881771063692082,719,-0.009493492574733144
N1,all,0.1,935,0.009393217533075331,488,-0.011371856096801268
N1,all,0.12,621,0.022249869238082365,335,0.012860058251294245
N1,all,0.15,344,-0.0001664375337819504,151,0.03314021189566832
N1,all,0.18,190,0.0031227091231668057,64,0.09573131143844844
N1,all,0.2,138,-0.03756492469321711,38,0.17574597303542522
N1,all,0.25,52,0.04532705549507237,14,-0.417133066290194
N1,home,0.08,634,0.004376902812781402,312,-0.013736964134679442
N1,home,0.1,472,0.014245492996255493,234,0.0012091655127223378
N1,home,0.12,323,0.03673812775927711,166,0.01689217181480616
N1,home,0.15,175,0.08097983157605677,81,0.010220954233314006
N1,home,0.18,93,0.12962023081000837,29,0.02162994133610439
N1,home,0.2,57,0.0721261820612262,11,0.13756864222546258
N1,draw,0.08,353,0.11234045982250215,154,-0.049992338747885674
N1,draw,0.1,210,0.12169373619192456,97,-0.13497785165479695
N1,draw,0.12,140,0.03940265189880791,62,-0.0345427669629804
N1,draw,0.15,73,-0.01597633547172637,26,0.029507997046269892
N1,draw,0.18,41,-0.14828529291926865,17,0.14426865457622856
N1,draw,0.2,35,-0.13728771736038686,16,0.004139951224445664
N1,away,0.08,360,-0.07797741822788934,253,0.017197536581218673
N1,away,0.1,253,-0.06440838117961281,157,0.009486538783966816
N1,away,0.12,158,-0.017221513297937162,107,0.02163765856283671
N1,away,0.15,96,-0.1320756470104902,44,0.09892180276463657
N1,away,0.18,56,-0.1226503871037425,18,0.23916045047406634
N1,away,0.2,46,-0.11262573362544315,11,0.40080174459706497
N1,home+draw,0.08,987,0.02977043021015644,466,-0.01953021809009988
N1,home+draw,0.1,682,0.03706538621196459,331,-0.018443055046843997
N1,home+draw,0.12,463,0.03731470292838714,228,0.010019570633368185
N1,home+draw,0.15,248,0.059762192350490254,107,0.012927968759587473
N1,home+draw,0.18,134,0.06517931587905741,46,0.05088328812313995
N1,home+draw,0.2,92,0.009383756533832737,27,0.0820933133370844
N1,home+draw,0.25,35,0.0707967017712358,11,-0.6717542005576959
N1,draw+away,0.08,713,-0.0033334844884137555,407,-0.0028394286088042077
N1,draw+away,0.1,463,0.0028862749132326708,254,-0.0336463279477762
N1,draw+away,0.12,298,0.0032663894647775573,169,0.005219700478173242
N1,draw+away,0.15,169,-0.09433264944860671,70,0.07715652243724923
N1,draw+away,0.18,97,-0.13084614996860805,35,0.19809712599012932
N1,draw+away,0.2,81,-0.12061307406263021,27,0.2025574562052305
N1,draw+away,0.25,33,0.009287979763104443,13,-0.38691135751665556
P1,all,0.08,1425,0.05262058858571292,965,0.08596329775739737
P1,all,0.1,1058,0.053893395188464775,700,0.1093763419044418
P1,all,0.12,771,0.05453588278166466,494,0.13827115072016602
P1,all,0.15,465,0.0768768142377661,289,0.14152507021608896
P1,all,0.18,263,0.09307308962616262,143,0.1851106863907
P1,all,0.2,192,0.0767234256035878,101,0.21425898650928946
P1,all,0.25,60,0.2552842804141888,19,0.3377202717749661
P1,home,0.08,667,0.07423788414673638,429,0.0822889210342797
P1,home,0.1,501,0.07146910180190988,330,0.09955644800758244
P1,home,0.12,373,0.05638651415587354,244,0.11007615599389868
P1,home,0.15,249,0.06755684032610133,147,0.10250446112281394
P1,home,0.18,138,0.09227571638615688,75,0.18742619521537224
P1,home,0.2,95,0.040732502790907496,54,0.24042691828619683
